fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,Id
7.3,0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10,7
7.8,0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,8
6.7,0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,10
5.6,0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,12
7.8,0.61,0.29,1.6,0.114,29,0.9974,3.26,1.56,9.1,13
8.5,0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,16
7.9,0.32,0.51,1.8,0.341,56,0.9969,3.04,1.08,9.2,19
7.6,0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,21
7.9,0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,22
8.5,0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,23
6.9,0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,24
6.3,0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,25
8.1,0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,37
7.3,0.45,0.36,5.9,0.074,87,0.9978,3.33,0.83,10.5,40
8.8,0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,41
7.5,0.49,0.2,2.6,0.332,14,0.9968,3.21,0.9,10.5,42
8.1,0.66,0.22,2.2,0.069,23,0.9968,3.3,1.2,10.3,43
4.6,0.52,0.15,2.1,0.054,65,0.9934,3.9,0.56,13.1,45
7.7,0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,46
8.8,0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,50
6.6,0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,51
6.6,0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,52
8.6,0.38,0.36,3,0.081,119,0.997,3.2,0.56,9.4,53
7.6,0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,54
10.2,0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,56
7.8,0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,58
7.3,0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,59
8.8,0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,60
7.7,0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,61
7,0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,63
7.2,0.725,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9,64
8.3,0.625,0.2,1.5,0.08,119,0.9972,3.16,1.12,9.1,79
6.2,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,80
5,1.02,0.04,1.4,0.045,85,0.9938,3.75,0.48,10.5,94
6.8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,96
7.6,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,98
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,99
8.3,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,100
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,102
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,103
7.2,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,104
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,105
7.8,0.41,0.68,1.7,0.467,69,0.9973,3.08,1.31,9.3,106
6.2,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,107
7.8,0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,110
8.4,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,111
10.1,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,113
7.8,0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5,114
9.4,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,115
8.3,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,116
7.3,1.07,0.09,1.7,0.178,89,0.9962,3.3,0.57,9,120
8.8,0.55,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9,121
